Unnamed: 0,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities,Category,City
2943,M Hill,Park,4.7,57.0,"Park, Tourist attraction","M Hill, Rapid City, SD 57701",Rapid-city,USA,SD,,Nature,267.90000000000003,4.69,"Rapid-city, Sioux-falls",Park,Rapid-City
2944,Southernmost Point of the Continental U.S.A.,Historical landmark,4.5,37596.0,"Historical landmark, Tourist attraction","Southernmost Point of the Continental U.S.A., 1400 Whitehead St, Key West, FL 33040",Key-west,USA,FL,,Cultural,169182.0,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Historical Landmark,Key-West
2945,The Hemingway Home and Museum,Museum,4.6,14605.0,"Museum, Historical landmark, Tourist attraction","The Hemingway Home and Museum, 907 Whitehead St, Key West, FL 33040",Key-west,USA,FL,,Cultural,67183.0,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2946,Smathers Beach,Public beach,4.2,8233.0,"Public beach, Tourist attraction","Smathers Beach, 2601 S Roosevelt Blvd, Key West, FL 33040",Key-west,USA,FL,,Nature,34578.6,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Public Beach,Key-West
2947,The Key West Butterfly and Nature Conservatory,Garden,4.8,7004.0,"Garden, Tourist attraction","The Key West Butterfly and Nature Conservatory, 1316 Duval St, Key West, FL 33040",Key-west,USA,FL,,Nature,33619.2,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Garden,Key-West
2948,Higgs Beach,Public beach,4.3,3979.0,"Public beach, Dog park, Park, Tourist attraction","Higgs Beach, 100 Atlantic Blvd, Key West, FL 33040",Key-west,USA,FL,,Nature,17109.7,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Public Beach,Key-West
2949,Truman Little White House,Museum,4.6,3280.0,"Museum, Event venue, Historical landmark, History museum, National museum, Tourist attraction, Wedding venue","Truman Little White House, 111 Front St, Naval Air Station Key West, FL 33040",Key-west,USA,FL,,Cultural,15087.999999999998,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2950,Key West Lighthouse,Museum,4.6,2431.0,"Museum, Tourist attraction","Key West Lighthouse, 938 Whitehead St, Key West, FL 33040",Key-west,USA,FL,,Cultural,11182.6,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2951,Key West Aquarium,Aquarium,4.1,2413.0,"Aquarium, Museum, Tourist attraction","Key West Aquarium, 1 Whitehead St, Key West, FL 33040",Key-west,USA,FL,,Entertainment,9893.3,4.61,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Aquarium,Key-West
2952,Mel Fisher Maritime Museum,Museum,4.5,1748.0,"Museum, Maritime museum, Tourist attraction","Mel Fisher Maritime Museum, 200 Greene St, Key West, FL 33040",Key-west,USA,FL,,Cultural,7866.0,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
